estacao;codigo;data_hora;nivel_m;vazao;chuva
Santa Tereza;86472600;2026-09-21 02:30:00;3,94;;0,00
Santa Tereza;86472600;2026-09-21 02:45:00;3,92;;0,00
Santa Tereza;86472600;2026-09-21 03:00:00;3,90;;0,00
Santa Tereza;86472600;2026-09-21 03:15:00;3,88;;0,00
Santa Tereza;86472600;2026-09-21 03:30:00;3,87;;0,00
Santa Tereza;86472600;2026-09-21 03:45:00;3,85;;0,00
Santa Tereza;86472600;2026-09-21 04:00:00;3,83;;0,00
Santa Tereza;86472600;2026-09-21 04:15:00;3,82;;0,00
Santa Tereza;86472600;2026-09-21 04:30:00;3,81;;0,00
Santa Tereza;86472600;2026-09-21 04:45:00;3,79;;0,00
Santa Tereza;86472600;2026-09-21 05:00:00;3,78;;0,40
Santa Tereza;86472600;2026-09-21 05:15:00;3,77;;0,00
Santa Tereza;86472600;2026-09-21 05:30:00;3,76;;0,20
Santa Tereza;86472600;2026-09-21 05:45:00;3,75;;1,00
Santa Tereza;86472600;2026-09-21 06:00:00;3,75;;4,20
Santa Tereza;86472600;2026-09-21 06:15:00;3,75;;13,80
Santa Tereza;86472600;2026-09-21 06:30:00;3,77;;20,20
Santa Tereza;86472600;2026-09-21 06:45:00;3,79;;15,80
Santa Tereza;86472600;2026-09-21 07:00:00;3,81;;11,60
Santa Tereza;86472600;2026-09-21 07:15:00;3,83;;10,80
Santa Tereza;86472600;2026-09-21 07:30:00;3,87;;16,80
Santa Tereza;86472600;2026-09-21 07:45:00;3,94;;10,20
Santa Tereza;86472600;2026-09-21 08:00:00;4,12;;6,40
Santa Tereza;86472600;2026-09-21 08:15:00;4,36;;6,40
Santa Tereza;86472600;2026-09-21 08:30:00;4,64;;4,60
Santa Tereza;86472600;2026-09-21 08:45:00;4,96;;2,80
Santa Tereza;86472600;2026-09-21 09:00:00;5,19;;1,00
Santa Tereza;86472600;2026-09-21 09:15:00;5,34;;2,60
Santa Tereza;86472600;2026-09-21 09:30:00;5,34;;3,40
Santa Tereza;86472600;2026-09-21 09:45:00;5,46;;4,60
Santa Tereza;86472600;2026-09-21 10:00:00;5,55;;0,60
Santa Tereza;86472600;2026-09-21 10:15:00;5,64;;2,40
Santa Tereza;86472600;2026-09-21 10:30:00;5,76;;3,20
Santa Tereza;86472600;2026-09-21 10:45:00;5,91;;2,20
Santa Tereza;86472600;2026-09-21 11:00:00;6,06;;1,60
Santa Tereza;86472600;2026-09-21 11:15:00;6,19;;0,40
Santa Tereza;86472600;2026-09-21 11:30:00;6,27;;0,20
Santa Tereza;86472600;2026-09-21 11:45:00;6,33;;0,40
